Year,Month,Date,Sum_Produce,forecast_sales_existing_stores,"forecast_sales_new_stores "
2012,03,2012-03,25151525.84,,
2012,04,2012-04,24406048.3899999,,
2012,05,2012-05,28249539.01,,
2012,06,2012-06,28691364.32,,
2012,07,2012-07,28535707.45,,
2012,08,2012-08,25793520.64,,
2012,09,2012-09,21915641.66,,
2012,10,2012-10,21203562.52,,
2012,11,2012-11,21736158.96,,
2012,12,2012-12,21962976.75,,
2013,01,2013-01,20322683.64,,
2013,02,2013-02,19829620.75,,
2013,03,2013-03,22717069.8500001,,
2013,04,2013-04,21625385.04,,
2013,05,2013-05,23000152.4,,
2013,06,2013-06,24755406.2,,
2013,07,2013-07,26803105.5600001,,
2013,08,2013-08,22600217.01,,
2013,09,2013-09,21401265.74,,
2013,10,2013-10,19296578.09,,
2013,11,2013-11,20489773.49,,
2013,12,2013-12,21715706.6699999,,
2014,01,2014-01,22544458.38,,
2014,02,2014-02,21262413.12,,
2014,03,2014-03,23247168.62,,
2014,04,2014-04,22541987.92,,
2014,05,2014-05,25943046.7499999,,
2014,06,2014-06,24782178.43,,
2014,07,2014-07,24263117.59,,
2014,08,2014-08,21879988.86,,
2014,09,2014-09,18407263.58,,
2014,10,2014-10,19497571.95,,
2014,11,2014-11,19444753.17,,
2014,12,2014-12,19240384.75,,
2015,01,2015-01,20088529.29,,
2015,02,2015-02,19772333.34,,
2015,03,2015-03,24608406.71,,
2015,04,2015-04,21559729.45,,
2015,05,2015-05,25792074.5900001,,
2015,06,2015-06,27212464.15,,
2015,07,2015-07,26338477.15,,
2015,08,2015-08,23130626.5999999,,
2015,09,2015-09,20774415.93,,
2015,10,2015-10,20359980.58,,
2015,11,2015-11,21936906.81,,
2015,12,2015-12,20462899.3,,
2016,1,2016-1,,23735686.9387899,743451.948213134
2016,10,2016-10,,21255190.2449756,710684.284642409
2016,2,2016-2,,22409515.2844737,721007.052636368
2016,3,2016-3,,25621828.7250966,845552.707464543
2016,4,2016-4,,26307858.0400465,802135.999883492
2016,5,2016-5,,26705092.5563487,913466.251314653
2016,6,2016-6,,23440761.3295266,922654.975423238
2016,7,2016-7,,20640047.3199708,931766.490788848
2016,8,2016-8,,20086270.4620746,822318.800699343
2016,9,2016-9,,20858119.95754,726181.308137812
