Year,Month,forecast_sales_existing_stores,"forecast_sales_new_stores ",forecast_total_sales,Date
2016,1,23735686.9387899,743451.948213134,23735686.9387899743451.948213134,2016-1
2016,10,21255190.2449756,710684.284642409,21255190.2449756710684.284642409,2016-10
2016,2,22409515.2844737,721007.052636368,22409515.2844737721007.052636368,2016-2
2016,3,25621828.7250966,845552.707464543,25621828.7250966845552.707464543,2016-3
2016,4,26307858.0400465,802135.999883492,26307858.0400465802135.999883492,2016-4
2016,5,26705092.5563487,913466.251314653,26705092.5563487913466.251314653,2016-5
2016,6,23440761.3295266,922654.975423238,23440761.3295266922654.975423238,2016-6
2016,7,20640047.3199708,931766.490788848,20640047.3199708931766.490788848,2016-7
2016,8,20086270.4620746,822318.800699343,20086270.4620746822318.800699343,2016-8
2016,9,20858119.95754,726181.308137812,20858119.95754726181.308137812,2016-9
